#gen	Feasible	f1	f2	f3	f4	f5	c1	c2	c3	c4	c5	c6	c7	x1	x2	x3	ras
32	1	73450.58189	245.9435776	2853468.965	183751.1799	3473.859423	0.8610456231	1.050453644	43953.66669	16360.32898	10365.40932	2119.322834	578.163691	0.08198119253	0.1	0.01000066673	0.9
32	1	63954.51863	4350	297653.4249	6504532.228	1611.331536	0.9355467386	1.066858125	44609.67953	16472.40097	10479.81986	2118.221917	586.9229511	1.45	0.01043128307	0.01063858806	0.1
32	1	65357.11815	1026.144977	690686.7594	3738432.125	3432.2068	0.862711728	1.050820424	43968.42164	16362.84407	10367.97217	2119.323812	578.3602958	0.3420483258	0.02420516108	0.01000007865	0
32	1	65551.42534	236.4252021	742612.302	3477561.913	16178.12126	0.3528751497	0.9385830187	39454.35083	15593.32097	9583.777507	2119.326485	518.2069174	0.07880840069	0.026024895	0.01000003483	0
32	1	68052.32773	784.4842217	947189.2409	3071721.015	5245.467908	0.7901812837	1.034942849	43234.09898	16243.77956	10251.77878	2091.350522	569.0181051	0.2614947406	0.03319430674	0.02625161703	0
32	1	65222.58771	456.3373275	578978.5663	4484218.986	10821.91867	0.5671232534	0.9857630597	41336.24135	15915.1301	9912.562084	2114.756134	543.3569254	0.1521124425	0.02029034041	0.01265501943	0.1
32	1	66366.11546	3978.146748	960321.1941	2567810.613	13.66724049	0.9994533104	1.080923247	45179.12615	16569.23537	10578.29846	2119.30879	594.4938388	1.326048916	0.03365451687	0.01	0.3
32	1	65679.82119	328.8963948	680560.1967	3920445.831	12942.02637	0.4823189451	0.967097889	40581.29378	15786.7044	9781.916266	2113.51347	533.3163752	0.1096321316	0.02385027505	0.01337708416	0
32	0	66788.80868	36.50381698	1073276.596	2193946.767	75162.53127	-2.006501251	0.4191807318	18564.53422	12032.19028	5954.751083	2119.327209	239.8344517	0.01216793899	0.03761304607	0.01	0
32	1	66007.74973	600.9037255	864523.7299	2934434.062	4961.350898	0.8015459641	1.037355161	43426.85666	16270.52275	10273.89101	2119.32293	571.1435651	0.2003012418	0.03029728869	0.0100011269	0.3
32	1	66938.8939	1107.260474	1113198.825	2075397.864	1649.184903	0.9340326039	1.066521314	44599.85734	16470.48864	10477.67109	2119.310253	586.7748242	0.3690868246	0.03901212308	0.01000647372	0
32	1	66007.74979	651.3609245	864523.7464	2934433.994	4517.773982	0.8192890407	1.041261191	43583.9531	16297.30331	10301.18216	2119.322717	573.2369928	0.2171203082	0.03029728927	0.0100011269	0.1
32	1	73277.52131	98.17939144	2790138.282	201891.8315	10168.35639	0.5932657445	0.9915068411	41579.36068	15955.80143	9953.358541	2118.294378	546.5406118	0.03272646381	0.09778057223	0.01059937917	0.1
