#gen	Feasible	f1	f2	f3	f4	f5	c1	c2	c3	c4	c5	c6	c7	x1	x2	x3	ras
37	1	65339.89403	286.9247783	686069.0551	3762577.174	14346.77465	0.4261290141	0.9547094122	40102.93417	15703.88654	9696.451275	2119.325405	526.849792	0.09564159276	0.02404333334	0.01000060219	0.1
37	1	73458.39759	259.248508	2809498.154	198505.3073	3518.604011	0.8592558396	1.05006853	43928.66826	16356.67501	10362.19632	2116.544326	577.8745892	0.08641616935	0.09845904017	0.01161482065	0.1
37	1	65374.66942	239.1521506	695354.0308	3714234.33	17123.40396	0.3150638416	0.9302590952	39119.56634	15536.24988	9525.618578	2119.325072	513.7456862	0.07971738354	0.0243687259	0.01000088175	0.1
37	1	66938.55062	359.5516211	1019854.321	2441321.054	7751.812338	0.6899275065	1.012801079	42420.03251	16100.11942	10101.27435	2113.689309	557.81615	0.1198505404	0.03574085906	0.01327452287	0.1
37	0	64987.46512	167.4650081	591907.4155	4289924.907	29245.37079	-0.1698148316	0.8235160155	34826.4765	14804.39755	8779.81264	2119.326917	456.537022	0.05582166937	0.02074343274	0.01	0
37	1	65717.00512	368.1836976	786860.8274	3269676.604	9503.020732	0.6198791707	0.997362321	41818.39311	15996.32418	9994.464278	2119.325989	549.7095518	0.1227278992	0.02757558737	0.01	0.5
37	1	67927.96315	607.6425492	1179218.964	2027855.655	4245.512115	0.8301795154	1.043696986	43640.94805	16309.63693	10315.95093	2107.351782	574.1861502	0.2025475164	0.04132580304	0.01695544427	0.1
37	1	67941.21937	833.2858049	1380854.032	1429558.229	1821.91875	0.92712325	1.065000299	44538.64366	16460.05597	10467.04167	2119.298945	585.9592914	0.277761935	0.04839211671	0.01001327528	0.2
37	1	64376.3871	4350	428610.3446	5385708.04	830.5018477	0.9667799261	1.073730401	44889.83742	16519.91971	10528.04256	2119.318318	590.6388496	1.45	0.01502067658	0.01	0.1
37	1	64590.82374	410.6367123	485913.7883	4972499.963	14143.44063	0.4342623749	0.9564999185	40174.95001	15716.163	9708.961609	2119.326428	527.8094406	0.1368789041	0.01702887938	0.01	0.1
37	1	65459.0975	4350	510577.349	5162956.017	1471.845604	0.9411261759	1.068122932	44621.49821	16476.91066	10486.51244	2106.808077	587.2612145	1.45	0.01789321542	0.01726706265	0.1
37	1	64618.22592	284.6330807	493236.4129	4922034.721	20423.91472	0.1830434112	0.9011955999	37950.66815	15336.98503	9322.554311	2119.326716	498.1692176	0.09487769356	0.01728550123	0.01	0.1
37	1	68458.25233	590.4479163	1519398.415	1178492.42	2550.858385	0.8979656646	1.058581362	44280.55891	16416.05473	10422.19732	2119.323028	582.5197568	0.1968159721	0.05324741336	0.01000000126	0.3
37	1	67542.47583	177.5119433	1274677.457	1657221.475	12381.83866	0.5047264535	0.9720121545	40798.83592	15822.51814	9817.344487	2119.326298	536.123188	0.05917064777	0.04467115195	0.01	0.1
37	1	64899.49404	256.7970211	568399.0902	4432737.307	19615.07892	0.2153968431	0.9083180101	38237.12404	15385.81776	9372.318079	2119.326689	501.986457	0.08559900702	0.019919582	0.01	0.1
37	0	64341.79474	131.4366434	417846.1797	5469958.948	53406.27664	-1.136251065	0.610761282	26269.38976	13345.67315	7293.293378	2119.235436	342.5088799	0.04381221445	0.01464344575	0.01005327273	0.1
37	1	73417.19029	69.59953544	2840207.758	187459.1648	14302.34222	0.4279063112	0.9551015114	40117.80797	15706.47935	9699.141638	2119.063612	527.0521444	0.02319984515	0.09953526016	0.01015269362	0
37	1	64418.25843	3247.18111	439799.5298	5302411.882	1317.993643	0.9472802543	1.069437667	44717.18817	16490.48783	10498.04954	2119.320443	588.3381689	1.082393703	0.01541280228	0.01	0.1
37	1	65946.94786	300.6781829	826875.5535	3115484.875	11292.60769	0.5482956925	0.9816077952	41180.33758	15887.83623	9884.145532	2118.033352	541.2274675	0.100226061	0.02897790597	0.01075109906	0.1
37	1	65411.94557	484.5163084	705340.4159	3662889.727	7939.464292	0.6824214283	1.011130617	42372.13956	16090.7225	10090.66237	2119.325735	557.0886383	0.1615054361	0.0247186994	0.01000000001	0.9
37	1	68177.82241	4281.840065	1440823.13	1316473.181	-267.0816265	1.010683265	1.083396155	45277.83311	16586.11012	10595.53526	2119.07798	595.8126586	1.427280022	0.05049373754	0.01012744601	0.1
37	1	67885.40208	428.0835464	1273781.18	1713427.672	5090.891275	0.796364349	1.036232325	43362.59889	16260.78879	10264.99701	2113.742835	570.3756918	0.1426945155	0.04463974187	0.01324292023	0.1
37	1	66585.98971	440.0573188	1019076.393	2366011.624	5868.360547	0.7652655781	1.02936825	43105.63782	16215.76349	10218.08739	2119.325135	566.8630537	0.1466857729	0.03571359652	0.01000004649	0.1
37	1	63840.2774	4336.411387	285346.8965	6575303.126	1639.061577	0.9344375369	1.066610422	44603.4793	16471.10364	10478.29578	2119.321372	586.822913	1.445470462	0.01	0.01	0.1
37	1	68572.54897	475.6052752	1549941.695	1129401.617	3270.405604	0.8691837759	1.052245205	44025.72532	16372.61272	10377.92704	2119.323809	579.1239081	0.1585350917	0.05431780453	0.01	0.1
