#gen	Feasible	f1	f2	c1	c2	c3	x1	x2	x3
19	1	0.00729562096	41523.47326	0.09270437904	58476.52674	22547.65384	0.0009879854814	0.0011317	2.23343749
19	1	0.02304350495	8593.460838	0.07695649505	91406.53916	25273.74083	0.00394912649	0.0011317	2.917887439
19	1	0.008606756163	32397.10016	0.09139324384	67602.89984	24828.73348	0.001085679181	0.0011317	2.764989998
19	1	0.03708684335	4994.361896	0.06291315665	95005.6381	25325.99041	0.006765437749	0.0011317	2.937487218
19	1	0.04163764083	4495.721512	0.05836235917	95504.27849	24613.04081	0.007954053886	0.0011317	2.698761084
19	1	0.01462671946	15164.17265	0.08537328054	84835.82735	25016.24536	0.002332436531	0.001135616653	2.742365607
19	1	0.02395249516	8212.372203	0.07604750484	91787.6278	25269.5777	0.004133811984	0.0011317	2.916342013
19	1	0.006090767276	56367.16054	0.09390923272	43632.83946	20167.29884	0.000825	0.0011317	1.905561241
19	1	0.02317603885	8504.577588	0.07682396115	91495.42241	25486.07911	0.003919457844	0.0011317	3
19	1	0.02142097265	9624.535453	0.07857902735	90375.46455	24101.48202	0.003856733168	0.0011317	2.558327402
19	1	0.02268227302	8856.482866	0.07731772698	91143.51713	24733.9286	0.004000636594	0.0011317	2.735308724
19	1	0.09305898171	1873.539746	0.006941018286	98126.46025	25311.31168	0.01805703381	0.0011317	2.931942492
19	1	0.01733475759	12168.5871	0.08266524241	87831.4129	25055.87878	0.002838988305	0.0011317	2.840061418
19	1	0.01963308893	17033.32429	0.08036691107	82966.67571	73397.56568	0.002002730665	0.00318161445	2.894852159
19	1	0.01577717758	13776.74848	0.08422282242	86223.25152	24635.82807	0.00259115138	0.0011317	2.705542702
19	1	0.02630726787	7360.723163	0.07369273213	92639.27684	25296.03342	0.00460195914	0.0011317	2.926203368
19	1	0.05730302145	3185.544628	0.04269697855	96814.45537	24676.10872	0.01117190099	0.0011317	2.717651445
19	1	0.02181688923	9440.581706	0.07818311077	90559.41829	29828.17308	0.003812494085	0.001217202496	2.673454393
19	1	0.09305898171	1873.539746	0.006941018286	98126.46025	25311.31168	0.01805703381	0.0011317	2.931942492
19	1	0.0107507855	23057.05936	0.0892492145	76942.94064	24947.74443	0.001511287161	0.0011317	2.80359834
19	1	0.01031861553	24470.58787	0.08968138447	75529.41213	24860.4977	0.001433795663	0.0011317	2.775144274
19	1	0.02453973446	7951.280344	0.07546026554	92048.71966	25486.07911	0.004192196966	0.0011317	3
19	1	0.01444060579	15344.21597	0.08555939421	84655.78403	25486.07911	0.002172371231	0.0011317	3
19	1	0.01124977865	42451.96926	0.08875022135	57548.03074	66069.80406	0.0008500714472	0.002518506445	2.663285693
19	1	0.0139977514	16025.25486	0.0860022486	83974.74514	24854.92803	0.002190361214	0.0011317	2.773356002
19	1	0.03594021035	5221.312945	0.06405978965	94778.68706	24976.70366	0.006658454938	0.0011317	2.813230655
19	1	0.02444446407	8069.713782	0.07555553593	91930.28622	24981.69005	0.004306484007	0.0011317	2.814898872
19	1	0.01813282659	11599.48417	0.08186717341	88400.51583	24612.34078	0.003082990648	0.0011317	2.698553527
19	1	0.03701462934	5044.422235	0.06298537066	94955.57777	25044.97509	0.006854454029	0.0011317	2.836322463
19	1	0.01171819446	20454.48183	0.08828180554	79545.51817	24181.73755	0.001804426453	0.0011317	2.578974667
19	1	0.01310161909	17489.80814	0.08689838091	82510.19186	24923.8092	0.001996124556	0.001131700131	2.795705715
19	1	0.01223566884	19358.20606	0.08776433116	80641.79394	26398.18854	0.001821727846	0.001156352232	2.754289218
19	1	0.007210921816	43542.26536	0.09278907818	56457.73464	24552.49946	0.000825	0.0011317	2.680978713
19	1	0.006071858141	56706.30008	0.09392814186	43293.69992	20039.7646	0.000825	0.0011317	1.891606726
