0.90	1.50 
0.30	0.95 
1.10	2.10 
0.35	1.00 
1.50	2.30 
0.50	2.10 
1.30	2.10 
1.70	2.30 
1.10	1.70 
0.70	1.50 
1.70	2.60 
0.50	1.30 
1.10	1.70 
1.30	1.90 
1.10	1.70 
1.30	1.90 
0.90	2.10 
1.10	1.90
1.50	2.30 
0.90	1.50 
0.90	1.50 
0.50	1.10 
0.50	1.20 
0.90	2.10 
0.30	0.90 
0.40	1.00 
1.30	1.90 
0.60	1.30 
0.60	1.20 
0.40	1.70 
0.90	1.90 
0.60	1.30 
0.90	1.70 
0.70	1.30 
0.40	1.90 
1.50	2.30 
0.60	1.20 
0.30	0.90 
0.30	0.90 
0.60	1.20 
1.70	2.30 
0.90	1.70 
0.50	1.10 
1.30	1.90 
0.70	1.70 
0.70	2.10 
0.90	2.10 
1.30	2.10 
1.10	1.90 
1.30	2.10 
2.00	2.60 
1.70	2.30 
1.10	1.70 
0.90	2.10 
0.30	0.90 
0.60	1.30 
0.90	1.70 
1.10	1.90 
1.30	1.90 
0.30	1.30 
0.30	1.10 
1.30	1.90 
0.90	1.50 
1.10	1.70 
1.70	2.30 
1.50	2.10 
1.10	1.60 
0.90	1.70 
0.70	2.10 
1.10	1.90 
0.90	1.70 
1.70	2.30 
2.00	2.60 
0.50	1.30 
0.90	1.50 
0.30	0.95 
1.10	2.10 
0.35	1.00 
1.50	2.30 
0.50	2.10 
1.30	2.10 
1.70	2.30 
1.10	1.70 
0.70	1.50 
1.70	2.60 
0.50	1.30 
1.10	1.70 
1.30	1.90 
1.10	1.70 
1.30	1.90 
0.90	2.10 
1.10	1.90 
1.50	2.30 
0.90	1.50 
0.90	1.50 
0.50	1.10 
0.50	1.20 
0.90	2.10 
0.30	0.90 
0.40	1.00 
1.30	1.90 
0.60	1.30 
0.60	1.20 
0.40	1.70 
0.90	1.90 
0.60	1.30 
0.90	1.70 
0.70	1.30 
0.40	1.90 
1.50	2.30 
0.60	1.20 
0.30	0.90 
0.30	0.90 
0.60	1.20 
1.70	2.30 
0.90	1.70 
0.50	1.10 
1.30	1.90 
0.70	1.70 
0.70	2.10 
0.90	2.10 
1.30	2.10 
1.10	1.90 
1.30	2.10 
2.00	2.60 
1.70	2.30 
1.10	1.70 
0.90	2.10 
0.30	0.90 
0.60	1.30 
0.90	1.70 
1.10	1.90 
1.30	1.90 
0.30	1.30 
0.30	1.10 
1.30	1.90 
0.90	1.50 
1.10	1.70 
1.70	2.30 
1.50	2.10 
1.10	1.60 
0.90	1.70 
0.70	2.10 
1.10	1.90 
0.90	1.70 
1.70	2.30 
2.00	2.60 
0.50	1.30 
0.90	1.50 
0.30	0.95 
1.10	2.10 
0.35	1.00 
1.50	2.30 
0.50	2.10 
1.30	2.10 
1.70	2.30 
1.10	1.70 
0.70	1.50 
1.70	2.60 
0.50	1.30 
1.10	1.70 
1.30	1.90 
1.10	1.70 
1.30	1.90 
0.90	2.10 
1.10	1.90 
1.50	2.30 
0.90	1.50 
0.90	1.50 
0.50	1.10 
0.50	1.20 
0.90	2.10 
0.30	0.90 
0.40	1.00 
1.30	1.90 
0.60	1.30 
0.60	1.20 
0.40	1.70 
0.90	1.90 
0.60	1.30 
0.90	1.70 
0.70	1.30 
0.40	1.90 
1.50	2.30 
0.60	1.20 
0.30	0.90 
0.30	0.90 
0.60	1.20 
1.70	2.30 
0.90	1.70 
0.50	1.10 
1.30	1.90 
0.70	1.70 
0.70	2.10 
0.90	2.10 
1.30	2.10 
1.10	1.90 
1.30	2.10 
2.00	2.60 
1.70	2.30 
1.10	1.70 
0.90	2.10 
0.30	0.90 
0.60	1.30 
0.90	1.70 
1.10	1.90 
1.30	1.90 
0.30	1.30 
0.30	1.10 
1.30	1.90 
0.90	1.50 
1.10	1.70 
1.70	2.30 
1.50	2.10 
1.10	1.60 
0.90	1.70 
0.70	2.10 
1.10	1.90 
0.90	1.70 
1.70	2.30 
2.00	2.60 
0.50	1.30
